,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
 Germany  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Greece  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Hungary ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 India   ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Indonesia  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Ireland ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500622e-16,-4.4373425918681877e-32,4.433795922277738e-48,-4.430252087461688e-64,4.426711085154267e-80,-4.423172913091511e-96,4.41963756901127e-112,-4.4161050506531994e-128,4.412575355758763e-144,-4.4090484820712284e-160,4.405524427335667e-176,-4.402003189298954e-192,4.398484765709763e-208,-4.39496915431857e-224,4.391456352877646e-240,-4.3879463591410605e-256,4.3844391708646786e-272,-4.3809347858061575e-288,4.377433201724947e-304
 Italy   ,-4.374e-320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Japan   ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Korea ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Netherlands ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 New Zealand ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Norway  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Portugal    ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,-4.4373425918681915e-32,4.433795922277742e-48,-4.430252087461692e-64,4.4267110851542705e-80,-4.423172913091515e-96,4.419637569011274e-112,-4.4161050506532035e-128,4.412575355758767e-144,-4.409048482071232e-160,4.405524427335671e-176,-4.402003189298958e-192,4.398484765709767e-208,-4.394969154318574e-224,4.39145635287765e-240,-4.3879463591410646e-256,4.3844391708646826e-272,-4.380934785806161e-288,4.377433201724951e-304,-4.374e-320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 South Africa ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Spain   ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Sweden  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Turkey  ,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,4.4373425918681915e-32,-4.433795922277742e-48,4.430252087461692e-64,-4.4267110851542705e-80,4.423172913091515e-96,-4.419637569011274e-112,4.4161050506532035e-128,-4.412575355758767e-144,4.409048482071232e-160,-4.405524427335671e-176,4.402003189298958e-192,-4.398484765709767e-208,4.394969154318574e-224,-4.39145635287765e-240,4.3879463591410646e-256,-4.3844391708646826e-272,4.380934785806161e-288,-4.377433201724951e-304,4.374e-320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 UK   ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 USA,0.0,0.0,0.0,0.0,-4.440892098500626e-16,4.4373425918681915e-32,-4.433795922277742e-48,4.430252087461692e-64,-4.4267110851542705e-80,4.423172913091515e-96,-4.419637569011274e-112,4.4161050506532035e-128,-4.412575355758767e-144,4.409048482071232e-160,-4.405524427335671e-176,4.402003189298958e-192,-4.398484765709767e-208,4.394969154318574e-224,-4.39145635287765e-240,4.3879463591410646e-256,-4.3844391708646826e-272,4.380934785806161e-288,-4.377433201724951e-304,4.374e-320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 ROW,0.0,0.0,0.0,4.440892098500626e-16,-4.4373425918681915e-32,4.433795922277742e-48,-4.430252087461692e-64,4.4267110851542705e-80,-4.423172913091515e-96,4.419637569011274e-112,-4.4161050506532035e-128,4.412575355758767e-144,-4.409048482071232e-160,4.405524427335671e-176,-4.402003189298958e-192,4.398484765709767e-208,-4.394969154318574e-224,4.39145635287765e-240,-4.3879463591410646e-256,4.3844391708646826e-272,-4.380934785806161e-288,4.377433201724951e-304,-4.44089209850063e-16,4.4373425918681953e-32,-4.4337959222777455e-48,4.430252087461696e-64,-4.426711085154274e-80,4.4231729130915194e-96,-4.419637569011278e-112,4.4161050506532076e-128,-4.412575355758771e-144,4.409048482071236e-160,-4.405524427335675e-176,4.402003189298962e-192,-4.398484765709772e-208,4.394969154318577e-224,-4.3914563528776535e-240,4.387946359141069e-256,-4.3844391708646865e-272,9.992007221626409e-17
